ConceptID,ConceptLabel,SourceURL,Dependencies,TaxonomyID,source_content_hash
11,Segment Criteria,https://help.salesforce.com/s/articleView?id=sf.c360_a_segment.htm&type=5,6:REQUIRES:0.90|12:REQUIRES:0.80,SEGMENT,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
12,Calculated Insight,https://help.salesforce.com/s/articleView?id=sf.c360_a_calculated_insight.htm&type=5,6:REQUIRES:0.85|21:REQUIRES:0.80,SEGMENT,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
13,Activation,https://help.salesforce.com/s/articleView?id=sf.c360_a_activation.htm&type=5,10:REQUIRES:0.90|14:REQUIRES:0.90,ACTIVATE,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
14,Activation Target,https://help.salesforce.com/s/articleView?id=sf.c360_a_activation.htm&type=5,1:REQUIRES:0.85,ACTIVATE,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
15,Data Action,https://help.salesforce.com/s/articleView?id=sf.c360_a_data_action.htm&type=5,6:REQUIRES:0.85|16:REQUIRES:0.85,ACTIVATE,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
16,Data Action Trigger,https://help.salesforce.com/s/articleView?id=sf.c360_a_data_action.htm&type=5,12:REQUIRES:0.85,ACTIVATE,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
17,Real-Time Data,https://help.salesforce.com/s/articleView?id=sf.c360_a_data_stream.htm&type=5,2:REQUIRES:0.90,INGEST,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
18,Batch Data,https://help.salesforce.com/s/articleView?id=sf.c360_a_data_stream.htm&type=5,2:REQUIRES:0.90,INGEST,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
19,Schema Mapping,https://help.salesforce.com/s/articleView?id=sf.c360_a_schema_mapping.htm&type=5,3:REQUIRES:0.90,MODEL,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
20,Harmonization,https://help.salesforce.com/s/articleView?id=sf.c360_a_dm_harmonization.htm&type=5,19:REQUIRES:0.90|4:REQUIRES:0.85,MODEL,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
21,Semantic Layer,https://help.salesforce.com/s/articleView?id=sf.c360_a_dm_data_model_objects.htm&type=5,4:REQUIRES:0.85|20:REQUIRES:0.80,MODEL,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
22,Data Explorer,https://help.salesforce.com/s/articleView?id=sf.c360_a_data_explorer.htm&type=5,21:REQUIRES:0.85|6:REQUIRES:0.80,MODEL,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
23,Profile API,https://developer.salesforce.com/docs/marketing/marketing-cloud/guide/profile-api.html,6:REQUIRES:0.90,GROUND,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
24,Einstein Studio,https://help.salesforce.com/s/articleView?id=sf.einstein_studio.htm&type=5,6:REQUIRES:0.85|1:REQUIRES:0.80,GROUND,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
25,Data Space,https://help.salesforce.com/s/articleView?id=sf.c360_a_data_space.htm&type=5,1:REQUIRES:0.85,MODEL,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
26,Grounding,https://help.salesforce.com/s/articleView?id=ai.service_agent_considerations.htm&type=5,27:REQUIRES:0.95|23:REQUIRES:0.90,GROUND,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
27,Knowledge Base,https://help.salesforce.com/s/articleView?id=ai.service_agent_considerations.htm&type=5,21:REQUIRES:0.85|6:REQUIRES:0.85,GROUND,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
28,Consent Management,https://help.salesforce.com/s/articleView?id=sf.c360_a_consent_management.htm&type=5,6:REQUIRES:0.85,MODEL,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
29,Data Kit,https://help.salesforce.com/s/articleView?id=sf.c360_a_data_kit.htm&type=5,2:REQUIRES:0.85,INGEST,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
30,Data Share,https://help.salesforce.com/s/articleView?id=sf.c360_a_data_share.htm&type=5,25:REQUIRES:0.85,INGEST,sha256:cc11eedeee761e083a591cd20bbbdf46d2942906519dc5f8e51e617857118cda
